,User,Number of Likes,Tweet,SENTIMENT
0,Manni,0,@BFMTV Quelqu’un a-t-il fait le compte des grèves nationales SNCF et RATP qui ont abouti à quelque chose et ont été… https://t.co/M53uSrElxc,Très négatif
1,Tata,0,"RT @Tehemparis: Réforme des retraites taux de grévistes le 31 janvier: RATP 37,5% SNCF 36,5% gaziers 75%, EDF 40,3% éducation nationale 26,…",Neutre
2,Akouvi🪐,0,RT @_555MJK: La RATP et SNCF prenez exemple svp,Très négatif
3,Romain Michelon #StandWithUkraine 🇺🇦,0,RT @jlmalys: 4. La seule mesure spécifique aux régimes spéciaux est la disparition à terme (dans plus de 40 ans et pas avant !) de tous les…,Très positif
4,Valerie Legouhy #sealover 🌊 #apnea #koicarp,0,"RT @Plusdetrains: ⚠️ Prochains jours de grève

RATP: 7 février (sans reconduction les jours suivants)
SNCF: 7 février mais certains syndica…",Neutre
5,Neuville,0,@BFMTV Ce serait un excellent signe pour les durs des grévistes #SNCF #RATP #EDF #Energie,Très positif
6,Du Al,0,"RT @ArthurNicola_: - Le public (SNCF/RATP/fonctionnaires/profs) qui s’était mobilisé en 2019
- Le privé concentré (Total, PSA, aéronautique…",Neutre
7,th,0,"@lafeeMC12 Cet argument est clairement bidon , ne jamais oublier que RATP , sncf, edf  ne sont pas des fonctionnair… https://t.co/JBKsPVDRHD",Très négatif
8,Tilleul Vert,0,"RT @YvesGranger: Grève du 7 février : SNCF, RATP, écoles, raffineries… les perturbations secteur par secteur
https://t.co/TE7kQaTmcU",Neutre
9,Jacky Trouvé,0,"RT @_LePetitCaporal: Non, on ne passe pas directement ""du travail au cimetière"", contrairement aux affirmations toutes pétées des opposants…",Très négatif
10,Zazebytheway,0,"RT @Plusdetrains: ⚠️ Prochains jours de grève

RATP: 7 février (sans reconduction les jours suivants)
SNCF: 7 février mais certains syndica…",Neutre
11,Monique Huart,0,@FranceInsoumise Mais la retraite à 52 ans des mâles cgt de la ratp sncf edf….c est normal. Hidalgo retraitée à 52… https://t.co/Bmo4n6eVDd,Neutre
12,R_Giskard Reventlov,0,"@LMartin_44 @Clemence_Guette Ah ces salariés d’EDF bardés de privilèges…comme ceux de la SNCF ou de la RATP, et mêm… https://t.co/ce0b2RH51R",Neutre
13,Patrice Cossali,0,"RT @_LePetitCaporal: Non, on ne passe pas directement ""du travail au cimetière"", contrairement aux affirmations toutes pétées des opposants…",Très négatif
14,NEAU Didier,2,"@_happy_birdy_ @Brevesdepresse Et si on commençait par supprimer les régimes spéciaux ? EDF, SNCF, RATP, etc. pour… https://t.co/WoSRQ6zmTO",Neutre
15,Gouedard Martine,0,"RT @Maskloff: La suppression des #RégimesSpéciaux, c'est à la carte. Pas touche aux #Avocats, aux #Flics, aux #Sénateurs, à l'#OpéraParis,…",Très positif
16,RedFrog,0,"RT @schloren: Regarde là gros ! Il illustre la grève du 7 février avec une photo ALORS QU'ON EST SEULEMENT LE 3 ! C'est scandaleux ! 
https…",Très négatif
17,Lindsay❤️💚⭐️,0,RT @_555MJK: La RATP et SNCF prenez exemple svp,Très négatif
18,El Emperador Waza ,0,"RT @B_Lambert75: Voilà un jeu des 7 familles qui devrait faire des envieux 😏

A découvrir ce week-end dans #Parigo 🤗

Let's play !

RDV ce…",Très positif
19,DemarchesAdministratives.fr,0,"Les syndicats ont lancé un nouvel appel à la #grève ce 7 février contre la réforme des retraites. 
▶️ SNCF, RATP, é… https://t.co/3bwQ4fFcNW",Très positif
20,jean-michel massonne,0,"RT @Tehemparis: Réforme des retraites taux de grévistes le 31 janvier: RATP 37,5% SNCF 36,5% gaziers 75%, EDF 40,3% éducation nationale 26,…",Neutre
21,bretongueulard🇨🇵🇷🇺💪,0,Retraite de parlementaires du @gouvernementFR . Je suis pour que l'on réforme toutes les retraites de ces fumiers q… https://t.co/SkyAL5U1fQ,Très positif
22,Jean Saurien,0,Regarde là gros ! Il illustre la grève du 7 février avec une photo ALORS QU'ON EST SEULEMENT LE 3 ! C'est scandaleu… https://t.co/1u3EBzZfcW,Très négatif
23,Hero ~ni~,0,"@breizhat92 @Ligne12_RATP @JeanCASTEX Au vu de ses différentes interventions, il a l’air de bien connaître sa socié… https://t.co/EnsKsNJIp4",Neutre
24,ale_xn_dra_🇭🇹💙,0,RT @_555MJK: La RATP et SNCF prenez exemple svp,Très négatif
25,blueway,2,#morandinilive les travailleurs illégaux travaillent à la mairie à la RATP SNCF etc....,Très négatif
26,SpiderJ,7,La RATP et SNCF prenez exemple svp https://t.co/EWH5Z43doF,Très négatif
27,Super Mario 2013,0,"RT @B_Lambert75: Voilà un jeu des 7 familles qui devrait faire des envieux 😏

A découvrir ce week-end dans #Parigo 🤗

Let's play !

RDV ce…",Très positif
28,Tramman78🐺,0,"RT @B_Lambert75: Voilà un jeu des 7 familles qui devrait faire des envieux 😏

A découvrir ce week-end dans #Parigo 🤗

Let's play !

RDV ce…",Très positif
29,Bertrand Lambert,38,"Voilà un jeu des 7 familles qui devrait faire des envieux 😏

A découvrir ce week-end dans #Parigo 🤗

Let's play !… https://t.co/rqsaQma7aV",Très positif
30,Tensiometre,0,"RT @BB27000: 13/ Sans le statut pour compenser, à quoi bon rester à la SNCF ou la RATP quand une entreprise privée paye mieux avec des cond…",Très négatif
31,Tensiometre,0,"RT @BB27000: 7/ Ce creux de recrutement est extrêmement difficile à rattraper par la RATP, un peu moins par la SNCF 
*(suivant les régions)…",Négatif
32,Leguern,0,"RT @Tehemparis: Réforme des retraites taux de grévistes le 31 janvier: RATP 37,5% SNCF 36,5% gaziers 75%, EDF 40,3% éducation nationale 26,…",Neutre
33,Tensiometre,0,"RT @BB27000: 4/ Mais les démissions sont un phénomène assez nouveaux.
Autrefois, on ne démissionnait que très rarement de la SNCF/RATP.

Au…",Neutre
